Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,1st phase - general contingent,1st choice,Basic Education,daytime,secondary education,123.0,Portuguese,secondary education,,elementary occupations,"farmers and skilled workers in agriculture, fisheries, and forestry",121.6,yes,no,no,yes,female,no,18,no,0,7,12,5,12.0,0,0,7,9,6,12.666666666666666,0,11.1,0.6,2.02,non-dropout
single,Change of institution/course (1st cycle),1st choice,Informatics Engineering,daytime,,151.0,Portuguese,,,administrative staff,"skilled workers in industry, construction, and craftsmen",151.0,no,no,yes,yes,female,no,26,no,0,5,6,0,0.0,0,0,5,5,0,0.0,0,16.2,0.3,-0.92,dropout
single,1st phase - general contingent,1st choice,Social Service,daytime,secondary education,107.0,Portuguese,,,"skilled workers in industry, construction, and craftsmen","skilled workers in industry, construction, and craftsmen",103.5,yes,no,no,yes,female,no,20,no,0,6,7,6,12.0,0,0,6,7,6,13.0,0,12.4,0.5,1.79,non-dropout
single,1st phase - general contingent,1st choice,Social Service (evening),evening,secondary education,126.0,Portuguese,,,elementary occupations,armed forces professions,119.4,no,no,no,yes,female,no,19,no,0,6,6,6,12.666666666666666,0,0,6,6,6,11.666666666666666,0,12.7,3.7,-1.7,non-dropout
single,1st phase - general contingent,1st choice,Social Service,daytime,secondary education,133.0,Portuguese,,,administrative staff,elementary occupations,134.4,yes,no,no,yes,female,yes,18,no,0,6,6,6,12.166666666666666,0,0,6,9,6,13.666666666666666,0,9.4,-0.8,-3.12,non-dropout
single,Change of institution/course (1st cycle),1st choice,Social Service,daytime,,140.0,Portuguese,,,"skilled workers in industry, construction, and craftsmen","skilled workers in industry, construction, and craftsmen",143.0,no,no,no,yes,female,no,19,no,3,6,6,6,13.333333333333334,0,2,6,6,6,14.666666666666666,0,13.9,-0.3,0.79,non-dropout
single,Holders of other higher education courses,1st choice,Basic Education,daytime,,110.0,Portuguese,,basic education 3rd cycle,specialists in intellectual and scientific activities,representatives of the legislative power and executive bodies,110.0,no,no,yes,yes,female,no,40,no,0,7,8,7,15.0,0,0,7,7,7,14.571428571428571,0,12.4,0.5,1.79,non-dropout
single,1st phase - general contingent,4th choice,Nursing,daytime,secondary education,141.0,Portuguese,,,"skilled workers in industry, construction, and craftsmen","skilled workers in industry, construction, and craftsmen",132.5,yes,no,no,yes,female,yes,18,no,0,8,8,8,13.39125,0,0,8,8,8,13.39125,0,9.4,-0.8,-3.12,non-dropout
single,Short cycle diploma holders,1st choice,Social Service,daytime,secondary education,122.0,Portuguese,basic education 3rd cycle,secondary education,elementary occupations,armed forces professions,114.7,no,no,no,yes,female,no,19,no,0,6,9,5,12.166666666666666,0,0,6,8,6,12.428571428571429,0,13.9,-0.3,0.79,non-dropout
single,Short cycle diploma holders,1st choice,Equinculture,daytime,secondary education,156.0,Portuguese,higher education - bachelor,other,intermediate level technicians,"personal services, security and safety workers",166.9,no,no,no,yes,female,no,18,no,0,5,9,4,11.25,0,0,5,6,4,12.5,0,7.6,2.6,0.32,non-dropout
single,1st phase - general contingent,1st choice,Veterinary Nursing,daytime,secondary education,129.0,Portuguese,secondary education,higher education - bachelor,intermediate level technicians,representatives of the legislative power and executive bodies,125.9,yes,no,no,yes,female,no,19,no,0,5,13,4,12.0,2,0,5,8,3,12.0,0,9.4,-0.8,-3.12,non-dropout
single,1st phase - general contingent,1st choice,Animation and Multimedia Design,daytime,secondary education,188.0,Portuguese,basic education 3rd cycle,basic education 3rd cycle,specialists in intellectual and scientific activities,specialists in intellectual and scientific activities,178.3,yes,no,no,yes,female,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,dropout
married,International student (bachelor),1st choice,Social Service (evening),evening,secondary education,120.0,Portuguese,,,elementary occupations,elementary occupations,117.0,yes,no,no,yes,female,no,33,no,0,6,7,6,12.833333333333334,0,0,6,8,6,12.857142857142858,0,12.4,0.5,1.79,non-dropout
single,International student (bachelor),1st choice,Agronomy,daytime,,130.0,Portuguese,basic education 3rd cycle,basic education 3rd cycle,representatives of the legislative power and executive bodies,specialists in intellectual and scientific activities,150.0,no,no,no,yes,female,no,35,no,0,6,10,6,14.0,0,0,6,11,6,13.1,0,16.2,0.3,-0.92,non-dropout
single,Transfer,1st choice,Management,daytime,secondary education,130.0,Portuguese,,,elementary occupations,representatives of the legislative power and executive bodies,130.0,yes,no,no,yes,female,no,26,no,3,5,5,4,13.0,0,1,5,7,2,12.0,0,9.4,-0.8,-3.12,non-dropout
single,1st phase - general contingent,1st choice,Journalism and Communication,daytime,secondary education,140.0,Portuguese,,,"skilled workers in industry, construction, and craftsmen","personal services, security and safety workers",135.1,yes,no,no,yes,female,no,18,no,0,6,7,6,13.5,0,0,6,8,6,12.5,0,9.4,-0.8,-3.12,non-dropout
single,Technological specialization diploma holders,1st choice,Social Service,daytime,secondary education,110.0,Portuguese,,,elementary occupations,elementary occupations,110.0,no,no,no,yes,female,no,36,no,10,16,24,13,10.692307692307692,1,9,13,19,9,12.307692307692308,0,15.5,2.8,-4.06,non-dropout
divorced,International student (bachelor),1st choice,Management (evening),evening,secondary education,133.1,Portuguese,,,"farmers and skilled workers in agriculture, fisheries, and forestry","farmers and skilled workers in agriculture, fisheries, and forestry",136.2,no,no,no,yes,female,no,39,no,0,5,6,5,11.0,0,0,5,9,5,11.666666666666666,0,10.8,1.4,1.74,non-dropout
married,International student (bachelor),1st choice,Social Service,daytime,secondary education,120.0,Portuguese,,,elementary occupations,elementary occupations,116.0,no,no,no,yes,female,no,44,no,0,6,8,6,13.0,0,0,6,6,6,13.833333333333334,0,12.7,3.7,-1.7,non-dropout
single,1st phase - general contingent,2nd choice,Social Service (evening),evening,secondary education,96.0,Portuguese,basic education 3rd cycle,secondary education,intermediate level technicians,elementary occupations,100.0,no,no,no,yes,female,no,20,no,0,6,10,5,12.0,0,0,6,9,4,11.25,0,9.4,-0.8,-3.12,non-dropout
single,1st phase - general contingent,1st choice,Tourism,daytime,secondary education,117.0,Portuguese,,,elementary occupations,elementary occupations,116.3,yes,no,no,yes,female,no,24,no,0,6,9,4,12.6,0,0,6,6,4,11.5,0,12.7,3.7,-1.7,dropout
single,Technological specialization diploma holders,1st choice,Journalism and Communication,daytime,secondary education,123.0,Portuguese,,,elementary occupations,installation and machine operators,134.0,no,no,no,yes,female,yes,20,no,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,12.4,0.5,1.79,non-dropout
single,1st phase - general contingent,4th choice,Animation and Multimedia Design,daytime,secondary education,127.0,Portuguese,secondary education,secondary education,elementary occupations,"personal services, security and safety workers",124.2,yes,no,no,no,female,no,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,dropout
married,1st phase - general contingent,1st choice,Nursing,daytime,secondary education,151.0,Portuguese,,,elementary occupations,"skilled workers in industry, construction, and craftsmen",134.5,no,no,yes,yes,female,yes,18,no,0,7,7,6,14.2,0,0,7,7,6,14.2,0,7.6,2.6,0.32,non-dropout
single,1st phase - general contingent,1st choice,Tourism,daytime,secondary education,127.0,Portuguese,,,administrative staff,"farmers and skilled workers in agriculture, fisheries, and forestry",120.7,no,no,yes,no,female,no,22,no,0,6,10,5,11.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,dropout
single,Short cycle diploma holders,1st choice,Veterinary Nursing,daytime,secondary education,133.0,Portuguese,,secondary education,administrative staff,"personal services, security and safety workers",127.1,yes,no,no,yes,female,no,18,no,0,6,7,6,15.0,0,0,6,7,6,16.428571428571427,0,11.1,0.6,2.02,non-dropout
single,International student (bachelor),1st choice,Nursing,daytime,,133.1,Portuguese,,,elementary occupations,elementary occupations,133.0,no,no,no,yes,female,no,24,no,0,7,9,6,12.585714285714284,0,0,8,9,7,13.44285714285714,0,13.9,-0.3,0.79,non-dropout
single,International student (bachelor),1st choice,Management (evening),evening,secondary education,133.1,Portuguese,,,,installation and machine operators,128.2,no,no,no,yes,female,no,33,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,dropout
single,International student (bachelor),1st choice,Agronomy,daytime,secondary education,133.1,Portuguese,,,intermediate level technicians,installation and machine operators,130.0,no,no,yes,yes,female,yes,30,no,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,non-dropout
single,International student (bachelor),1st choice,Veterinary Nursing,daytime,,160.0,Portuguese,basic education 3rd cycle,,specialists in intellectual and scientific activities,intermediate level technicians,172.0,no,no,no,yes,female,no,26,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,dropout
single,Short cycle diploma holders,4th choice,Basic Education,daytime,secondary education,140.0,Portuguese,,,administrative staff,representatives of the legislative power and executive bodies,128.5,yes,no,no,yes,female,no,18,no,0,6,7,6,11.666666666666666,0,0,6,10,6,11.833333333333334,0,10.8,1.4,1.74,non-dropout
single,1st phase - general contingent,1st choice,Journalism and Communication,daytime,secondary education,146.0,Portuguese,,,elementary occupations,"skilled workers in industry, construction, and craftsmen",128.5,no,no,yes,yes,female,no,19,no,0,6,13,3,12.666666666666666,0,0,6,12,2,10.0,0,10.8,1.4,1.74,dropout
single,Short cycle diploma holders,4th choice,Management,daytime,secondary education,112.0,Portuguese,,,elementary occupations,armed forces professions,112.0,yes,no,no,yes,female,no,20,no,0,5,10,3,10.333333333333334,0,0,5,9,4,11.0,2,16.2,0.3,-0.92,non-dropout
single,Change of institution/course (CET),1st choice,Veterinary Nursing,daytime,,140.0,Portuguese,,,elementary occupations,installation and machine operators,142.5,yes,no,no,yes,female,yes,22,no,7,11,18,8,13.5,0,4,9,16,7,13.714285714285714,0,8.9,1.4,3.51,non-dropout
single,1st phase - general contingent,4th choice,Nursing,daytime,secondary education,136.0,Portuguese,secondary education,secondary education,elementary occupations,representatives of the legislative power and executive bodies,133.0,yes,no,no,yes,female,no,19,no,0,7,8,5,13.98,0,0,7,8,5,13.98,0,7.6,2.6,0.32,non-dropout
single,1st phase - general contingent,1st choice,Veterinary Nursing,daytime,secondary education,133.1,Portuguese,,,"skilled workers in industry, construction, and craftsmen","personal services, security and safety workers",106.0,yes,no,no,yes,female,yes,21,no,0,6,13,6,16.153846153846153,0,0,6,10,6,15.75,0,15.5,2.8,-4.06,non-dropout
single,1st phase - general contingent,4th choice,Nursing,daytime,secondary education,136.0,Portuguese,,,administrative staff,installation and machine operators,125.5,yes,no,no,yes,female,yes,21,no,0,7,7,6,14.033333333333331,0,0,7,7,6,14.033333333333331,0,7.6,2.6,0.32,non-dropout
single,Short cycle diploma holders,1st choice,Veterinary Nursing,daytime,secondary education,134.0,Portuguese,,,specialists in intellectual and scientific activities,"skilled workers in industry, construction, and craftsmen",131.2,no,no,no,yes,female,no,19,no,0,5,8,1,11.0,0,0,5,6,5,11.2,0,7.6,2.6,0.32,non-dropout
single,1st phase - general contingent,1st choice,Basic Education,daytime,secondary education,122.0,Portuguese,,,,,112.9,yes,no,no,yes,female,yes,19,no,0,7,8,7,13.857142857142858,0,0,7,8,6,13.666666666666666,0,8.9,1.4,3.51,non-dropout
single,1st phase - general contingent,6th choice,Nursing,daytime,secondary education,138.0,Portuguese,,,elementary occupations,"personal services, security and safety workers",124.8,yes,no,no,yes,female,no,18,no,0,8,8,7,13.414285714285716,0,0,8,8,7,13.414285714285716,0,12.7,3.7,-1.7,dropout
married,Technological specialization diploma holders,1st choice,Social Service (evening),evening,secondary education,160.0,Portuguese,,,elementary occupations,administrative staff,140.9,no,no,no,yes,female,no,50,no,7,11,11,11,13.545454545454543,0,3,7,7,7,13.571428571428571,0,16.2,0.3,-0.92,non-dropout
divorced,International student (bachelor),1st choice,Management (evening),evening,secondary education,130.0,Portuguese,,,elementary occupations,"skilled workers in industry, construction, and craftsmen",148.0,no,no,no,yes,female,yes,31,no,0,5,11,4,11.25,0,0,5,10,4,10.833333333333334,0,13.9,-0.3,0.79,non-dropout
single,Short cycle diploma holders,1st choice,Journalism and Communication,daytime,secondary education,161.0,Portuguese,secondary education,,administrative staff,"skilled workers in industry, construction, and craftsmen",148.4,no,no,no,yes,female,yes,19,no,0,6,6,6,13.833333333333334,0,0,6,7,6,14.428571428571429,0,15.5,2.8,-4.06,non-dropout
divorced,International student (bachelor),1st choice,Management (evening),evening,secondary education,140.0,Portuguese,secondary education,,,,129.7,no,no,no,yes,female,no,35,no,0,5,8,5,12.0,0,0,5,9,5,12.857142857142858,0,13.9,-0.3,0.79,non-dropout
married,International student (bachelor),1st choice,Veterinary Nursing,daytime,,133.1,Portuguese,,,administrative staff,"skilled workers in industry, construction, and craftsmen",128.2,no,no,no,yes,female,no,31,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,dropout
married,Short cycle diploma (CET),1st choice,Social Service (evening),evening,,133.1,Portuguese,,,elementary occupations,elementary occupations,104.0,no,no,yes,yes,female,no,42,no,5,11,14,10,11.9,0,5,11,14,10,12.8,0,11.1,0.6,2.02,non-dropout
single,Change of institution/course (International),4th choice,Management,daytime,secondary education,130.0,Portuguese,,,elementary occupations,elementary occupations,119.9,yes,no,no,no,female,no,34,no,0,5,5,0,0.0,0,0,5,0,0,0.0,0,9.4,-0.8,-3.12,dropout
single,1st phase - general contingent,1st choice,Nursing,daytime,secondary education,152.0,Portuguese,secondary education,secondary education,administrative staff,administrative staff,141.0,yes,no,no,yes,female,yes,18,no,0,7,7,7,15.135714285714286,0,0,8,8,8,15.287499999999998,0,12.4,0.5,1.79,non-dropout
single,Short cycle diploma holders,1st choice,Basic Education,daytime,secondary education,125.0,Portuguese,basic education 3rd cycle,basic education 3rd cycle,intermediate level technicians,intermediate level technicians,116.6,yes,no,no,no,female,yes,18,no,0,7,7,7,12.285714285714286,0,0,7,8,6,13.333333333333334,0,8.9,1.4,3.51,non-dropout
single,Change of institution/course (1st cycle),1st choice,Veterinary Nursing,daytime,,140.0,Portuguese,,,"personal services, security and safety workers","farmers and skilled workers in agriculture, fisheries, and forestry",140.0,yes,no,no,yes,female,no,21,no,2,6,16,5,12.666666666666666,0,1,6,15,2,13.5,0,16.2,0.3,-0.92,non-dropout
divorced,International student (bachelor),1st choice,Nursing,daytime,,133.1,Portuguese,,,"personal services, security and safety workers","skilled workers in industry, construction, and craftsmen",140.0,no,no,no,yes,female,yes,26,no,0,7,13,5,12.74,0,0,8,12,6,10.978571428571428,0,16.2,0.3,-0.92,dropout
single,Technological specialization diploma holders,1st choice,Nursing,daytime,secondary education,170.0,Portuguese,,,installation and machine operators,installation and machine operators,100.0,no,no,no,yes,female,no,20,no,0,7,8,6,13.25,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,non-dropout
single,1st phase - general contingent,1st choice,Social Service,daytime,secondary education,135.0,Portuguese,,,"personal services, security and safety workers","skilled workers in industry, construction, and craftsmen",121.0,no,no,no,yes,female,no,19,no,0,6,13,3,10.333333333333334,0,0,6,12,3,10.333333333333334,0,7.6,2.6,0.32,non-dropout
single,1st phase - general contingent,1st choice,Basic Education,daytime,secondary education,125.0,Portuguese,,,"personal services, security and safety workers","personal services, security and safety workers",117.0,no,no,no,yes,female,yes,19,no,0,6,7,6,13.428571428571429,0,0,6,6,6,13.166666666666666,0,15.5,2.8,-4.06,non-dropout
single,Change of institution/course (CET),1st choice,Management,daytime,,140.0,Portuguese,basic education 3rd cycle,12th year of schooling - not completed,specialists in intellectual and scientific activities,representatives of the legislative power and executive bodies,140.2,no,no,no,yes,female,no,20,no,6,11,19,9,12.555555555555555,0,3,9,14,8,11.11111111111111,0,8.9,1.4,3.51,non-dropout
single,1st phase - general contingent,1st choice,Social Service,daytime,secondary education,124.0,Portuguese,,,other,other,129.3,no,no,no,yes,female,no,19,no,0,6,8,6,11.5,0,0,6,7,6,11.166666666666666,0,7.6,2.6,0.32,non-dropout
single,1st phase - general contingent,1st choice,Basic Education,daytime,secondary education,140.0,Portuguese,,,elementary occupations,elementary occupations,145.3,no,no,no,yes,female,no,18,no,0,6,6,6,13.666666666666666,0,0,6,9,6,12.333333333333334,0,7.6,2.6,0.32,non-dropout
single,International student (bachelor),1st choice,Management (evening),evening,,130.0,Portuguese,,,elementary occupations,elementary occupations,146.2,no,no,no,yes,female,no,28,no,10,14,16,11,11.272727272727272,0,6,11,16,10,12.0,0,10.8,1.4,1.74,non-dropout
single,Short cycle diploma holders,1st choice,Basic Education,daytime,secondary education,134.0,Portuguese,secondary education,,administrative staff,"personal services, security and safety workers",122.5,yes,no,no,yes,female,no,22,no,0,6,10,5,13.166666666666666,0,0,6,8,5,12.4,0,15.5,2.8,-4.06,non-dropout
single,Change of institution/course (1st cycle),1st choice,Social Service (evening),evening,,160.0,Portuguese,,,"skilled workers in industry, construction, and craftsmen","skilled workers in industry, construction, and craftsmen",156.1,no,no,no,yes,female,yes,21,no,3,6,6,6,14.666666666666666,0,2,6,6,6,14.166666666666666,0,13.9,-0.3,0.79,non-dropout
single,Change of institution/course (1st cycle),1st choice,Veterinary Nursing,daytime,,140.0,Portuguese,12th year of schooling - not completed,,administrative staff,"personal services, security and safety workers",140.0,yes,no,no,yes,female,no,21,no,0,6,11,4,12.75,0,0,6,19,1,11.0,0,12.4,0.5,1.79,non-dropout
single,International student (bachelor),1st choice,Nursing,daytime,secondary education,150.0,Portuguese,secondary education,,"personal services, security and safety workers",intermediate level technicians,140.0,no,yes,no,yes,female,no,26,no,0,7,11,5,11.2,0,0,8,13,5,12.14,0,16.2,0.3,-0.92,non-dropout
single,1st phase - general contingent,6th choice,Journalism and Communication,daytime,secondary education,141.0,Portuguese,,,"skilled workers in industry, construction, and craftsmen","skilled workers in industry, construction, and craftsmen",128.4,yes,no,yes,no,female,no,18,no,0,6,8,5,13.0,0,0,6,8,5,11.4,0,7.6,2.6,0.32,dropout
single,Short cycle diploma holders,2nd choice,Veterinary Nursing,daytime,secondary education,120.0,Portuguese,secondary education,secondary education,elementary occupations,armed forces professions,115.0,no,no,no,no,female,no,20,no,0,5,8,2,10.5,0,0,5,8,2,12.333333333333334,0,7.6,2.6,0.32,dropout
single,Short cycle diploma holders,2nd choice,Veterinary Nursing,daytime,secondary education,166.0,Portuguese,secondary education,,administrative staff,intermediate level technicians,158.7,no,no,no,yes,female,no,18,no,0,6,7,6,14.857142857142858,0,0,6,7,6,14.0,0,11.1,0.6,2.02,non-dropout
single,1st phase - general contingent,4th choice,Nursing,daytime,secondary education,147.0,Portuguese,secondary education,secondary education,administrative staff,elementary occupations,124.5,yes,no,no,yes,female,yes,19,no,0,8,11,7,12.86,0,0,8,11,7,12.86,0,10.8,1.4,1.74,non-dropout
single,Short cycle diploma (CET),1st choice,Social Service,daytime,secondary education,121.0,Portuguese,basic education 3rd cycle,,intermediate level technicians,armed forces professions,111.9,yes,no,no,yes,female,no,20,no,5,11,12,11,11.727272727272728,0,5,11,14,11,12.0,0,12.4,0.5,1.79,non-dropout
single,Change of institution/course (1st cycle),1st choice,Veterinary Nursing,daytime,,150.0,Portuguese,,,administrative staff,"farmers and skilled workers in agriculture, fisheries, and forestry",150.0,yes,no,no,yes,female,yes,22,no,3,6,11,6,13.142857142857142,0,2,6,10,3,12.0,0,13.9,-0.3,0.79,non-dropout
single,Short cycle diploma holders,1st choice,Advertising and Marketing Management,daytime,secondary education,124.0,Portuguese,,,"personal services, security and safety workers",installation and machine operators,114.2,yes,no,yes,yes,female,no,18,no,0,6,6,5,11.8,0,0,6,9,4,13.714285714285714,0,10.8,1.4,1.74,dropout
single,Short cycle diploma holders,1st choice,Management,daytime,secondary education,96.0,Portuguese,,,"farmers and skilled workers in agriculture, fisheries, and forestry",administrative staff,96.0,yes,no,no,yes,female,no,19,no,0,5,10,3,10.666666666666666,0,0,5,9,0,0.0,3,16.2,0.3,-0.92,dropout
single,Short cycle diploma holders,4th choice,Communication Design,daytime,secondary education,125.0,Portuguese,secondary education,basic education 3rd cycle,intermediate level technicians,intermediate level technicians,128.9,no,no,no,yes,female,yes,18,no,0,6,9,5,11.6,0,0,6,8,4,11.2,0,8.9,1.4,3.51,non-dropout
single,Short cycle diploma holders,1st choice,Tourism,daytime,secondary education,136.0,Portuguese,,,"skilled workers in industry, construction, and craftsmen","skilled workers in industry, construction, and craftsmen",121.7,yes,no,no,yes,female,no,20,no,0,6,13,3,10.333333333333334,0,0,6,12,3,10.333333333333334,0,10.8,1.4,1.74,non-dropout
single,1st phase - general contingent,1st choice,Journalism and Communication,daytime,secondary education,120.0,Portuguese,,,elementary occupations,elementary occupations,114.8,yes,yes,no,yes,female,no,19,no,0,6,11,4,12.25,0,0,6,11,3,11.0,0,7.6,2.6,0.32,non-dropout
single,1st phase - general contingent,1st choice,Tourism,daytime,secondary education,128.0,Portuguese,,,elementary occupations,elementary occupations,127.0,no,no,no,yes,female,no,19,no,0,6,6,6,12.0,0,0,6,7,4,12.75,0,12.4,0.5,1.79,non-dropout
single,Short cycle diploma holders,1st choice,Nursing,daytime,secondary education,142.0,Portuguese,,,"personal services, security and safety workers","personal services, security and safety workers",131.3,yes,no,no,yes,female,no,19,no,0,8,8,7,14.731428571428571,0,0,8,8,7,14.731428571428571,0,10.8,1.4,1.74,non-dropout
single,1st phase - general contingent,1st choice,Animation and Multimedia Design,daytime,secondary education,135.0,Portuguese,secondary education,,intermediate level technicians,elementary occupations,137.1,yes,no,no,yes,female,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,non-dropout
single,Holders of other higher education courses,1st choice,Communication Design,daytime,,120.0,Portuguese,secondary education,,intermediate level technicians,elementary occupations,120.0,yes,no,no,yes,female,no,21,no,9,13,14,13,13.615384615384617,1,6,12,12,12,14.25,0,13.9,-0.3,0.79,non-dropout
single,International student (bachelor),1st choice,Management (evening),evening,,140.0,Portuguese,secondary education,,elementary occupations,elementary occupations,139.0,no,no,no,yes,female,no,27,no,0,5,5,5,15.8,0,0,5,5,5,14.8,0,8.9,1.4,3.51,non-dropout
single,Short cycle diploma holders,1st choice,Social Service,daytime,secondary education,135.0,Portuguese,secondary education,,administrative staff,administrative staff,129.1,no,no,no,yes,female,no,19,no,0,6,6,6,14.666666666666666,0,0,6,7,6,14.571428571428571,0,15.5,2.8,-4.06,non-dropout
divorced,International student (bachelor),1st choice,Veterinary Nursing,daytime,secondary education,133.1,Portuguese,,,other,other,128.2,no,no,no,yes,female,no,25,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,dropout
single,1st phase - general contingent,2nd choice,Nursing,daytime,secondary education,137.0,Portuguese,,,"skilled workers in industry, construction, and craftsmen","skilled workers in industry, construction, and craftsmen",120.8,yes,no,no,yes,female,yes,18,no,0,8,8,7,14.654285714285717,0,0,8,8,7,14.654285714285717,0,10.8,1.4,1.74,non-dropout
single,International student (bachelor),1st choice,Nursing,daytime,,122.0,Portuguese,,secondary education,administrative staff,installation and machine operators,135.8,no,no,no,yes,female,no,24,no,0,8,8,7,12.401428571428571,0,0,8,8,7,12.401428571428571,0,10.8,1.4,1.74,non-dropout
single,1st phase - general contingent,3rd choice,Nursing,daytime,secondary education,128.0,Portuguese,secondary education,secondary education,administrative staff,armed forces professions,118.9,yes,no,no,yes,female,no,20,no,0,7,8,7,11.5875,0,0,8,9,7,14.071428571428571,0,13.9,-0.3,0.79,non-dropout
single,Holders of other higher education courses,1st choice,Management (evening),evening,,140.0,Portuguese,,,"farmers and skilled workers in agriculture, fisheries, and forestry","farmers and skilled workers in agriculture, fisheries, and forestry",140.0,no,no,no,yes,female,no,26,no,3,5,5,5,14.0,0,1,5,5,5,15.6,0,12.4,0.5,1.79,non-dropout
single,1st phase - general contingent,1st choice,Social Service,daytime,secondary education,132.0,Portuguese,secondary education,,elementary occupations,"skilled workers in industry, construction, and craftsmen",127.1,yes,no,no,yes,female,yes,20,no,0,6,9,6,12.333333333333334,0,0,6,6,6,11.833333333333334,0,8.9,1.4,3.51,non-dropout
single,1st phase - general contingent,1st choice,Veterinary Nursing,daytime,secondary education,131.0,Portuguese,,,,,137.0,no,no,no,yes,female,no,18,no,0,5,5,5,14.0,0,0,5,6,5,15.4,0,7.6,2.6,0.32,non-dropout
single,1st phase - general contingent,1st choice,Veterinary Nursing,daytime,secondary education,126.0,Portuguese,secondary education,secondary education,elementary occupations,elementary occupations,127.4,yes,no,no,yes,female,no,19,no,0,6,13,6,15.23076923076923,0,0,6,10,6,12.375,0,15.5,2.8,-4.06,non-dropout
single,1st phase - general contingent,1st choice,Basic Education,daytime,secondary education,133.1,Portuguese,,,elementary occupations,elementary occupations,97.0,yes,no,no,yes,female,no,23,no,0,6,9,5,11.6,0,0,6,9,3,11.0,0,12.7,3.7,-1.7,dropout
single,1st phase - general contingent,4th choice,Nursing,daytime,secondary education,136.0,Portuguese,,,elementary occupations,elementary occupations,126.3,yes,no,no,yes,female,yes,18,no,0,7,7,6,11.6,0,0,7,7,6,11.6,0,7.6,2.6,0.32,non-dropout
single,1st phase - general contingent,4th choice,Nursing,daytime,secondary education,140.0,Portuguese,secondary education,,administrative staff,"personal services, security and safety workers",127.5,no,no,no,yes,female,no,18,no,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.7,3.7,-1.7,dropout
single,1st phase - general contingent,1st choice,Nursing,daytime,secondary education,135.0,Portuguese,higher education - bachelor,secondary education,specialists in intellectual and scientific activities,installation and machine operators,126.6,no,no,no,yes,female,yes,19,no,0,7,7,7,12.901428571428571,0,0,8,9,8,13.094444444444443,0,11.1,0.6,2.02,non-dropout
single,Transfer,1st choice,Management (evening),evening,secondary education,160.0,Portuguese,secondary education,higher education - bachelor,administrative staff,intermediate level technicians,120.0,no,no,no,yes,female,no,30,no,4,7,9,7,14.142857142857142,0,1,5,5,5,14.8,0,7.6,2.6,0.32,non-dropout
single,Change of institution/course (1st cycle),1st choice,Veterinary Nursing,daytime,,140.0,Portuguese,secondary education,higher education - bachelor,administrative staff,"farmers and skilled workers in agriculture, fisheries, and forestry",140.0,yes,no,no,yes,female,no,29,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,dropout
single,1st phase - general contingent,6th choice,Nursing,daytime,secondary education,140.0,Portuguese,basic education 3rd cycle,secondary education,intermediate level technicians,intermediate level technicians,131.5,yes,no,no,yes,female,no,19,no,0,8,8,8,13.25375,0,0,8,8,8,13.25375,0,9.4,-0.8,-3.12,non-dropout
single,Short cycle diploma holders,6th choice,Oral Hygiene,daytime,secondary education,115.0,Portuguese,,higher education - bachelor,"personal services, security and safety workers",intermediate level technicians,112.2,yes,no,no,yes,female,no,20,no,0,7,7,7,13.785714285714286,0,0,8,8,8,14.1,0,12.4,0.5,1.79,non-dropout
single,1st phase - general contingent,1st choice,Nursing,daytime,secondary education,144.0,Portuguese,,,elementary occupations,intermediate level technicians,150.5,no,no,no,yes,female,no,20,no,0,7,7,6,13.916666666666666,0,0,7,7,6,13.916666666666666,0,7.6,2.6,0.32,non-dropout
